Trend of Change,Floor,Rooms,Property Type,Block and Parcel,Transaction Price,Transaction Date,Area (m²),Address,Serial Number
"","קרקע","5","דירה בבית קומות","6430-260-2","2,160,000 ₪","29/08/2013","119.5","אהוד מנור 4","553"
"","קרקע","5","דירת גן","6429-347-3","2,193,000 ₪","29/08/2013","133","עוזי חיטמן 9","554"
"","שלישית","6","דירה בבית קומות","6429-303-9","2,160,000 ₪","26/08/2013","145.4","דוד זהבי 3","555"
"","חמישית","5","דירה בבית קומות","6430-228-33","1,920,000 ₪","21/08/2013","141.6","יאיר רוזנבלום 18","556"
"","שלישית","4","דירה בבית קומות","6429-303-7","1,760,000 ₪","14/08/2013","103.3","דוד זהבי 3","557"
"","רביעית, חמישית","6","דירה בבית קומות","6430-266-16","2,775,000 ₪","08/08/2013","195.1","יאיר רוזנבלום 34","558"
"","שתים עשרה","6","דירה בבית קומות","6430-253-45","2,180,000 ₪","06/08/2013","127","קרן המוסיקה 2","559"
"","שישית, שביעית","8","דירה בבית קומות","6429-303-18","2,800,000 ₪","05/08/2013","208.5","דוד זהבי 3","560"
"","ראשונה","5","דירה בבית קומות","6429-283-24","2,140,000 ₪","18/07/2013","148.2","ג'ו עמר 10","562"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 31.1% ב 4.1 שנים","רביעית","4","דירה בבית קומות","6430-249-9","1,730,000 ₪","17/07/2013","84.61","אברהם פררה 1","563"
"","שתים עשרה","5","דירה בבית קומות","6429-284-45","2,345,000 ₪","11/07/2013","111","משה וילנסקי 8","564"
"","ראשונה","6","דירה בבית קומות","6429-275-2","2,400,000 ₪","10/07/2013","143.75","יאיר רוזנבלום 3","565"
"","שלישית","6","דירה בבית קומות","6430-228-29","2,116,000 ₪","09/07/2013","159.95","יאיר רוזנבלום 18","566"
"","אחת עשרה","5","דירה בבית קומות","6429-284-41","2,300,000 ₪","30/06/2013","111","משה וילנסקי 8","567"
"","שניה","6","דירה בבית קומות","6429-275-4","2,000,000 ₪","25/06/2013","143.75","יאיר רוזנבלום 3","568"
"","שניה","6","דירה בבית קומות","6429-280-44","1,930,000 ₪","25/06/2013","146.2","יאיר רוזנבלום 4","569"
"","ראשונה","6","דירה בבית קומות","6429-303-20","2,400,000 ₪","24/06/2013","133.2","דוד זהבי 3","570"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 27.9% ב 3.6 שנים","ראשונה","6","דירה בבית קומות","6430-276-61","2,070,000 ₪","20/06/2013","129.96","יאיר רוזנבלום 22","572"
"","ראשונה","6","דירה","6430-275-1","2,340,000 ₪","18/06/2013","139","ללא כתובת","573"
"","רביעית, חמישית","8","דירה בבית קומות","6429-347-15","3,075,000 ₪","11/06/2013","249","עוזי חיטמן 9","574"
"","שניה","5","דירה בבית קומות","6429-346-10","1,950,000 ₪","10/06/2013","184","ללא כתובת","575"
"","חמישית","6","דירה בבית קומות","6429-274-13","1,956,000 ₪","06/06/2013","150.2","עלי מוהר 4","576"
"","רביעית","6","דירה בבית קומות","6429-275-10","2,010,000 ₪","30/05/2013","143.75","יאיר רוזנבלום 3","577"
"","ראשונה","5","דירה בבית קומות","6429-276-35","2,110,000 ₪","29/05/2013","132.9","נעמי שמר 2","578"
"","ארבע עשרה, חמש עשרה","6","דירה בבית קומות","6430-253-52","3,248,000 ₪","29/05/2013","174","קרן המוסיקה 2","579"
"","ראשונה","5","דירה בבית קומות","6429-276-4","2,120,000 ₪","28/05/2013","137","נעמי שמר 2","580"
"","שניה","4","דירה בבית קומות","6429-275-6","1,745,000 ₪","12/05/2013","101.63","יאיר רוזנבלום 3","582"
"","חמישית","4","דירה בבית קומות","6430-270-10","1,670,000 ₪","07/05/2013","88","ללא כתובת","583"
"","קרקע","6","דירה בבית קומות","6429-282-21","2,503,000 ₪","02/05/2013","130.7","ג'ו עמר 11","584"
"","שביעית, שמינית","6","דירה בבית קומות","6430-245-20","2,780,000 ₪","30/04/2013","190.9","אהוד מנור 23","585"
"","עשירית","5","דירה בבית קומות","6429-284-37","2,343,000 ₪","28/04/2013","111","משה וילנסקי 8","586"
"","שניה","4","דירה בבית קומות","6430-228-25","1,660,000 ₪","28/04/2013","119.05","אהוד מנור 18","587"
"","חמישית","6","דירה בבית קומות","6429-303-14","2,160,000 ₪","21/04/2013","144.5","דוד זהבי 3","588"
"","קרקע","5","דירה בבית קומות","6429-283-20","2,477,000 ₪","21/04/2013","130.7","ג'ו עמר 10","589"
"","שביעית, שמינית","6","דירה בבית קומות","6430-229-25","2,840,000 ₪","17/04/2013","171","אהוד מנור 16","590"
"","שניה","6","דירה בבית קומות","6430-270-5","1,980,000 ₪","11/04/2013","125.3","ללא כתובת","592"
"","שניה","6","דירה בבית קומות","6429-280-24","1,975,000 ₪","07/04/2013","150.5","יאיר רוזנבלום 2","593"
"","שלישית","6","דירה בבית קומות","6429-280-8","1,940,000 ₪","04/04/2013","148.1","משה וילנסקי 14","594"
"","ראשונה","4","דירה בבית קומות","6429-282-4","1,679,000 ₪","03/04/2013","106.8","ג'ו עמר 9","595"
"","שלישית","5","דירה בבית קומות","6429-347-13","2,050,000 ₪","21/03/2013","129","עוזי חיטמן 9","596"
"","רביעית","4","דירה בבית קומות","6430-228-31","1,685,000 ₪","17/03/2013","118.4","יאיר רוזנבלום 18","597"
"","שניה","4","דירה בבית קומות","6430-228-5","1,665,000 ₪","14/03/2013","119.05","יאיר רוזנבלום 16","598"
"","רביעית","6","דירה בבית קומות","6429-280-50","1,930,000 ₪","14/03/2013","146.1","יאיר רוזנבלום 4","599"
"","רביעית","6","דירה בבית קומות","6429-280-30","1,930,000 ₪","12/03/2013","152.3","יאיר רוזנבלום 2","600"
"","חמישית","6","דירה בבית קומות","6430-228-35","2,105,000 ₪","05/03/2013","159.95","יאיר רוזנבלום 18","602"
"","ראשונה","5","דירה בבית קומות","6429-283-22","1,860,000 ₪","04/03/2013","131.1","ג'ו עמר 10","603"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 15.2% ב 2.8 שנים","רביעית","5","דירה בבית קומות","6430-245-35","2,050,000 ₪","03/03/2013","127.53","אהוד מנור 23","604"
"","שישית","5","דירה בבית קומות","6430-228-37","2,095,000 ₪","27/02/2013","122.1","אהוד מנור 18","605"
"","שניה","6","דירה בבית קומות","6429-274-5","2,100,000 ₪","19/02/2013","150.1","עלי מוהר 4","606"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 13.9% ב 3.2 שנים","שניה","5","דירה בבית קומות","6429-311-6","1,920,000 ₪","17/02/2013","109.66","דמארי שושנה 2","607"
"","חמישית","6","דירה בבית קומות","6429-275-14","2,047,000 ₪","14/02/2013","148.33","יאיר רוזנבלום 3","608"
"","שניה","4","דירה בבית קומות","6429-284-6","1,735,000 ₪","14/02/2013","88.9","משה וילנסקי 8","609"
"","שלישית","6","דירה בבית קומות","6429-283-30","2,175,000 ₪","14/02/2013","151.1","ג'ו עמר 10","610"
"","ראשונה","4","דירה בבית קומות","6429-303-1","1,954,000 ₪","27/01/2013","92.5","דוד זהבי 3","612"
"","רביעית","4","דירה בבית קומות","6430-223-12","1,658,000 ₪","23/01/2013","103.7","יאיר רוזנבלום 17","613"
"","שלישית","6","דירה בבית קומות","6430-270-7","2,000,000 ₪","18/01/2013","125.3","ללא כתובת","614"
"","ראשונה","5","דירה בבית קומות","6430-256-3","1,800,000 ₪","17/01/2013","127.87","קרן המוסיקה 4","615"
"","שניה","5","דירה בבית קומות","6429-346-11","1,781,000 ₪","15/01/2013","125","ללא כתובת","616"
"","רביעית","6","דירה בבית קומות","6430-270-9","2,005,000 ₪","03/01/2013","125.3","ללא כתובת","617"
"","קרקע  + שביעית","5","דירה בבית קומות","6430-246-26","2,117,000 ₪","03/01/2013","133.54","יאיר רוזנבלום 8","618"
"","חמישית","5","דירה בבית קומות","6429-282-16","1,930,000 ₪","31/12/2012","131.3","ג'ו עמר 9","619"
"","שביעית, שמינית","7","דירה בבית קומות","6429-289-22","2,800,000 ₪","31/12/2012","204","משה וילנסקי 15","620"
"","רביעית","6","דירה בבית קומות","6429-283-32","2,180,000 ₪","26/12/2012","151","ג'ו עמר 10","622"
"","חמישית","6","דירה בבית קומות","6430-223-15","2,036,000 ₪","26/12/2012","149.6","יאיר רוזנבלום 17","623"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 31.8% ב 3.7 שנים","חמישית","6","דירה בבית קומות","6429-311-14","2,215,000 ₪","24/12/2012","131.6","דמארי שושנה 2","624"
"","שניה","4","דירה בבית קומות","6429-283-7","1,634,000 ₪","23/12/2012","102.5","ג'ו עמר 10","625"
"","אחת עשרה","6","דירה בבית קומות","6430-253-43","2,160,000 ₪","23/12/2012","127","קרן המוסיקה 2","626"
"","חמישית","5","דירה בבית קומות","6429-283-15","1,910,000 ₪","23/12/2012","132.8","ג'ו עמר 10","627"
"","חמישית","4","דירה בבית קומות","6429-274-33","1,648,000 ₪","17/12/2012","108.5","עלי מוהר 6","628"
"","שלישית","4","דירה בבית קומות","6429-274-27","1,638,000 ₪","17/12/2012","108.7","עלי מוהר 6","629"
"","עשירית","5","דירה בבית קומות","6429-284-39","2,460,000 ₪","13/12/2012","119.7","משה וילנסקי 8","630"
"","רביעית","6","דירה בבית קומות","6430-223-50","1,920,000 ₪","29/11/2012","148.4","יאיר רוזנבלום 17","632"
"","שלישית","4","דירה בבית קומות","6429-283-9","1,650,000 ₪","25/11/2012","102.6","ג'ו עמר 10","633"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 57.9% ב 4.8 שנים","קרקע","5","דירה בבית קומות","6430-276-58","2,550,000 ₪","18/11/2012","130.49","יאיר רוזנבלום 22","634"
"","רביעית","4","דירה בבית קומות","6429-284-14","1,725,000 ₪","14/11/2012","88.9","משה וילנסקי 8","635"
"","ראשונה","6","דירה בבית קומות","6429-280-2","2,250,000 ₪","12/11/2012","131.2","משה וילנסקי 14","636"
"","שלישית","5","דירה בבית קומות","6429-283-28","1,890,000 ₪","06/11/2012","131.1","ג'ו עמר 10","637"
"","שניה","6","דירה בבית קומות","6430-223-24","1,920,000 ₪","31/10/2012","145.3","יאיר רוזנבלום 17","638"
"","שלישית","4","דירה בבית קומות","6429-280-28","1,600,000 ₪","29/10/2012","108.2","יאיר רוזנבלום 2","639"
"","שישית","6","דירה בבית קומות","6429-280-56","1,940,000 ₪","29/10/2012","147.5","יאיר רוזנבלום 4","640"
"","שישית","5","דירה בבית קומות","6429-284-23","1,955,000 ₪","23/10/2012","112.6","משה וילנסקי 8","642"
"","שניה","6","דירה בבית קומות","6430-223-43","1,915,000 ₪","22/10/2012","146.5","יאיר רוזנבלום 17","643"
"","שלישית","5","דירה בבית קומות","6430-245-11","1,950,000 ₪","21/10/2012","127.42","אהוד מנור 23","644"
"","קרקע + שישית","6","דירה בבית קומות","6430-246-22","2,107,000 ₪","17/10/2012","133.36","יאיר רוזנבלום 8","645"
"","שלישית","5","דירה בבית קומות","6429-285-9","2,225,000 ₪","16/10/2012","148.37","שושנה דמארי 1","646"
"","רביעית","4","דירה בבית קומות","6429-280-10","1,615,000 ₪","09/10/2012","105.2","משה וילנסקי 14","647"
"","שלישית","6","דירה בבית קומות","6430-223-8","1,990,000 ₪","27/09/2012","146.5","יאיר רוזנבלום 17","648"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 18.8% ב 2.5 שנים","שניה","5","דירה בבית קומות","6430-240-4","2,020,000 ₪","27/09/2012","128","סשה ארגוב 7","649"
"","רביעית","5","דירה בבית קומות","6430-245-14","1,955,000 ₪","24/09/2012","127.42","אהוד מנור 23","650"
"","חמישית, שישית","7","דירה בבית קומות","6429-283-17","2,683,000 ₪","13/09/2012","196","ג'ו עמר 10","652"
"","חמישית","5","דירה בבית קומות","6430-245-38","1,935,000 ₪","13/09/2012","123.56","אהוד מנור 23","653"
"","שישית","4","דירה בבית קומות","6430-268-21","1,659,000 ₪","13/09/2012","100","אהוד מנור 10","654"
"","חמישית","5","דירה בבית קומות","6429-282-17","1,935,000 ₪","07/09/2012","132.8","ג'ו עמר 9","655"
"","ראשונה","6","דירה בבית קומות","6429-280-20","2,289,000 ₪","06/09/2012","131.3","יאיר רוזנבלום 2","656"
"","קרקע עליונה","5.5","דירת גן","6430-249-1","2,300,000 ₪","04/09/2012","126.26","אברהם פררה 1","657"
"","קרקע + שלישית","4","דירה בבית קומות","6430-246-10","1,678,000 ₪","30/08/2012","103.16","יאיר רוזנבלום 8","658"
"","שניה","5","דירה בבית קומות","6430-268-6","1,850,000 ₪","26/08/2012","126","אהוד מנור 10","659"
"","קרקע + רביעית","4","דירה בבית קומות","6430-246-12","1,688,000 ₪","26/08/2012","103.16","יאיר רוזנבלום 8","660"
"","שישית, שביעית","7","דירה בבית קומות","6429-282-18","2,620,000 ₪","16/08/2012","193.5","ג'ו עמר 9","662"
"","שניה","4","דירה בבית קומות","6429-285-25","1,646,000 ₪","13/08/2012","104.16","שושנה דמארי 3","663"
"","ראשונה","5","דירה בבית קומות","6430-268-2","2,265,000 ₪","13/08/2012","117","אהוד מנור 10","664"
"","שניה","6","דירה בבית קומות","6429-274-23","1,912,000 ₪","12/08/2012","149.8","עלי מוהר 6","665"
"","חמישית, שישית","7","דירה בבית קומות","6429-283-34","2,588,000 ₪","12/08/2012","196","ג'ו עמר 10","666"
"","קרקע + רביעית","4","דירה בבית קומות","6430-246-14","1,660,000 ₪","09/08/2012","103.34","יאיר רוזנבלום 8","667"
"","ראשונה","5.5","דירה בבית קומות","6430-249-2","1,950,000 ₪","06/08/2012","139.11","אברהם פררה 1","668"
"","שלישית","4","דירה בבית קומות","6429-282-9","1,654,000 ₪","31/07/2012","102.7","ג'ו עמר 9","669"
"","חמישית","6","דירה בבית קומות","6429-282-35","2,147,000 ₪","31/07/2012","150.9","ג'ו עמר 11","670"
"","רביעית","5","דירה בבית קומות","6429-282-31","2,135,000 ₪","26/07/2012","151.1","ג'ו עמר 11","672"
"","שישית, שביעית","7","דירה בבית קומות","6429-283-37","2,703,000 ₪","26/07/2012","210.7","ג'ו עמר 10","673"
"","רביעית","6","דירה בבית קומות","6429-274-29","1,922,000 ₪","25/07/2012","148.8","עלי מוהר 6","674"
"","קרקע  + אחת עשרה","6","דירה בבית קומות","6430-246-43","2,045,000 ₪","25/07/2012","133.1","יאיר רוזנבלום 8","675"
"","ראשונה","6","דירה בבית קומות","6430-223-20","2,238,000 ₪","18/07/2012","133.6","יאיר רוזנבלום 17","676"
"","שביעית","5","דירה בבית קומות","6429-284-25","1,980,000 ₪","10/07/2012","112.6","משה וילנסקי 8","677"
"","תשיעית","5","דירה בבית קומות","6429-284-33","2,044,000 ₪","10/07/2012","112.6","משה וילנסקי 8","678"
"","רביעית","4","דירה בבית קומות","6429-285-31","1,648,000 ₪","08/07/2012","104.16","שושנה דמארי 3","679"
"","חמישית + שישית","7","דירה בבית קומות","6430-240-13","2,470,000 ₪","06/07/2012","189","סשה ארגוב 7","680"
"","שישית, שביעית","6","דירה בבית קומות","6429-280-16","2,500,000 ₪","05/07/2012","191.6","משה וילנסקי 14","682"
"","שניה","4","דירה בבית קומות","6429-280-6","1,637,000 ₪","28/06/2012","102.8","משה וילנסקי 14","683"
"","ראשונה","6","דירה בבית קומות","6429-280-40","2,280,000 ₪","28/06/2012","129.9","יאיר רוזנבלום 4","684"
"","קרקע  + שמינית","6","דירה בבית קומות","6430-246-29","2,070,000 ₪","28/06/2012","134.44","יאיר רוזנבלום 8","685"
"","שישית","5","דירה בבית קומות","6429-284-21","1,951,000 ₪","28/06/2012","112.6","משה וילנסקי 8","686"
"","ראשונה","6","דירה בבית קומות","6429-274-21","2,203,000 ₪","26/06/2012","133.8","עלי מוהר 6","687"
"","רביעית","4","דירה בבית קומות","6429-280-48","1,615,000 ₪","25/06/2012","106.5","יאיר רוזנבלום 4","688"
"","קרקע + שישית","5","דירה בבית קומות","6430-246-20","1,860,000 ₪","24/06/2012","133.2","יאיר רוזנבלום 8","689"
"","שישית, שביעית","7","דירה בבית קומות","6430-223-16","2,580,000 ₪","21/06/2012","203.5","יאיר רוזנבלום 17","690"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 2.6% ב 2 שנים","ראשונה","4","דירה בבית קומות","6430-245-4","1,560,000 ₪","19/06/2012","103","אהוד מנור 23","692"
"","רביעית, חמישית","5","דירה בבית קומות","6429-285-12","2,530,000 ₪","14/06/2012","142.86","שושנה דמארי 1","693"
"","שלישית","6","דירה בבית קומות","6430-249-6","1,900,000 ₪","12/06/2012","139.11","אברהם פררה 1","694"
"","רביעית","5","דירה בבית קומות","6430-268-14","1,870,000 ₪","12/06/2012","126","אהוד מנור 10","695"
"","שלישית","6","דירה בבית קומות","6429-280-46","1,935,000 ₪","10/06/2012","145.6","יאיר רוזנבלום 4","696"
"","שלישית","6","דירה בבית קומות","6429-295-10","2,010,000 ₪","07/06/2012","131.3","דוד זהבי 6","697"
"","ראשונה","4","דירה בבית קומות","6429-280-22","1,551,000 ₪","03/06/2012","94.9","יאיר רוזנבלום 2","698"
"","קרקע תחתונה + עשירית","6","דירה בבית קומות","6430-246-38","2,040,000 ₪","31/05/2012","134","יאיר רוזנבלום 8","699"
"","רביעית","4","דירה בבית קומות","6430-223-31","1,570,000 ₪","30/05/2012","103.3","יאיר רוזנבלום 17","700"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 24.2% ב 2.6 שנים","שניה","5","דירה בבית קומות","6430-251-29","2,000,000 ₪","22/05/2012","131.06","אהוד מנור 17","702"
"","שלישית","4","דירה בבית קומות","6429-274-25","1,573,000 ₪","21/05/2012","110.8","עלי מוהר 6","703"
"","שישית, שביעית","7","דירה בבית קומות","6430-233-38","2,630,000 ₪","20/05/2012","181.7","מאיר אריאל 12","704"
"","שמינית","5","דירה בבית קומות","6429-284-31","1,965,000 ₪","17/05/2012","112.6","משה וילנסקי 8","705"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 8% ב 1.2 שנים","שניה","4","דירה בבית קומות","6429-295-7","1,750,000 ₪","16/05/2012","88.42","דוד זהבי 6","706"
"","שלישית","4","דירה בבית קומות","6429-285-10","1,660,000 ₪","13/05/2012","104.44","שושנה דמארי 1","707"
"","קרקע  + אחת עשרה","6","דירה בבית קומות","6430-246-41","2,101,000 ₪","10/05/2012","133.3","יאיר רוזנבלום 8","708"
"","חמישית","5","דירה בבית קומות","6430-268-19","1,870,000 ₪","08/05/2012","126","אהוד מנור 10","709"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 19.8% ב 2.7 שנים","רביעית","6","דירה בבית קומות","6430-276-70","1,965,000 ₪","07/05/2012","129.96","יאיר רוזנבלום 22","710"
"","חמישית, שישית","6","דירה בבית קומות","6429-295-20","2,400,000 ₪","02/05/2012","145.93","דוד זהבי 6","712"
"","שביעית, שמינית","7","דירה בבית קומות","6429-280-38","2,570,000 ₪","01/05/2012","208.8","יאיר רוזנבלום 2","713"
"","קרקע","5","דירה בבית קומות","6430-264-15","2,060,000 ₪","29/04/2012","119.69","יאיר רוזנבלום 32","714"
"","ראשונה","4","דירה בבית קומות","6429-285-23","1,670,000 ₪","29/04/2012","105.4","שושנה דמארי 3","715"
"","שלישית","4","דירה בבית קומות","6429-285-29","1,680,000 ₪","24/04/2012","105.4","שושנה דמארי 3","716"
"","קרקע תחתונה + עשירית","6","דירה בבית קומות","6430-246-39","2,039,000 ₪","23/04/2012","134.3","יאיר רוזנבלום 8","717"
"","תשיעית","5","דירה בבית קומות","6429-284-35","2,010,000 ₪","20/03/2012","112.6","משה וילנסקי 8","718"
"","שתים עשרה","5","דירה בבית קומות","6429-284-47","2,400,000 ₪","15/03/2012","119.7","משה וילנסקי 8","719"
"","שישית, שביעית","7","דירה בבית קומות","6429-274-35","2,530,000 ₪","15/03/2012","208.9","עלי מוהר 6","720"
"","חמישית","5","דירה בבית קומות","6429-274-14","1,850,000 ₪","29/02/2012","151","עלי מוהר 4","722"
"","חמישית","5","דירה בבית קומות","6429-280-52","1,895,000 ₪","21/02/2012","146.3","יאיר רוזנבלום 4","723"
"","חמישית + שישית","7","דירה בבית קומות","6430-240-29","2,530,000 ₪","10/02/2012","189","סשה ארגוב 7","724"
"","ראשונה","4","דירה בבית קומות","6430-223-22","1,760,000 ₪","08/02/2012","93.4","יאיר רוזנבלום 17","725"
"tooltip 16 copy
							
								
									
										
											 
											 
										
									
								
							
						
						 -5.6% ב 1.9 שנים","ראשונה","5","דירה בבית קומות","6429-345-3","1,605,000 ₪","06/02/2012","128.04","משה וילנסקי 2","726"
"","שניה","5","דירה בבית קומות","6430-229-6","1,800,000 ₪","02/02/2012","126","אהוד מנור 16","727"
"","ראשונה","5","דירה בבית קומות","6430-229-2","2,155,000 ₪","05/01/2012","117","אהוד מנור 16","728"
"","קרקע תחתונה + עשירית","6","דירה בבית קומות","6430-246-36","2,065,000 ₪","29/12/2011","134.2","יאיר רוזנבלום 8","729"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 7.2% ב 1.2 שנים","שניה","6","דירה בבית קומות","6430-259-6","2,050,000 ₪","28/12/2011","140.5","אהוד מנור 2","730"
"","רביעית, חמישית","6","דירה בבית קומות","6429-300-26","2,610,000 ₪","21/12/2011","199","דוד זהבי 14","732"
"","שישית, שביעית","7","דירה בבית קומות","6430-223-55","2,600,000 ₪","20/12/2011","202.8","יאיר רוזנבלום 17","733"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 24.8% ב 3.6 שנים","שניה","4","דירה בבית קומות","6430-276-26","1,510,000 ₪","07/12/2011","91.26","מאיר אריאל 15","734"
"","ראשונה","6","דירה בבית קומות","6430-259-4","1,885,000 ₪","30/11/2011","140.5","אהוד מנור 2","735"
"","שניה","5","דירה בבית קומות","6429-297-9","1,890,000 ₪","28/11/2011","139","דוד זהבי 10","736"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 23.2% ב 0.2 שנים","קרקע","6","דירה בבית קומות","6430-264-2","2,340,000 ₪","27/11/2011","121.28","יאיר רוזנבלום 32","737"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 28% ב 3.3 שנים","שלישית","4","דירה בבית קומות","6430-276-10","1,600,000 ₪","14/11/2011","90.74","מאיר אריאל 13","738"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 22.8% ב 3.7 שנים","חמישית+ שישית","6","דירה בבית קומות","6430-276-35","2,270,000 ₪","08/11/2011","126.84","מאיר אריאל 15","739"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 0.3% ב 0.9 שנים","שניה","4","דירה בבית קומות","6430-276-6","1,535,000 ₪","06/11/2011","93.82","מאיר אריאל 13","740"
"","שניה","6","דירה בבית קומות","6429-285-6","2,235,000 ₪","11/10/2011","148.37","שושנה דמארי 1","742"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 5.8% ב 1.1 שנים","חמישית","4","דירה בבית קומות","6430-252-18","1,704,000 ₪","23/09/2011","103.49","אברהם פררה 7","743"
"","שמינית","5","דירה בבית קומות","6430-252-30","1,979,000 ₪","20/09/2011","125.98","אברהם פררה 7","744"
"","שישית","5","דירה בבית קומות","6430-268-23","1,910,000 ₪","08/09/2011","126","אהוד מנור 10","745"
"","קרקע תחתונה + תשיעית","6","דירה בבית קומות","6430-246-34","2,075,000 ₪","30/08/2011","134.6","יאיר רוזנבלום 8","746"
"","שלישית+רביעית+חמישית","6","דירה בבית קומות","6430-256-23","2,499,000 ₪","14/08/2011","192.62","משה סנה 25","747"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 27.4% ב 2.2 שנים","שישית","5","דירה בבית קומות","6430-251-41","2,140,000 ₪","10/08/2011","138.79","אהוד מנור 17","748"
"","קרקע תחתונה + תשיעית","6","דירה בבית קומות","6430-246-32","2,049,000 ₪","26/07/2011","136.18","יאיר רוזנבלום 8","749"
"","רביעית","5","דירה בבית קומות","6430-223-10","1,960,000 ₪","24/07/2011","147.3","יאיר רוזנבלום 17","750"
"","שניה","5","דירה בבית קומות","6429-299-9","1,700,000 ₪","03/07/2011","125","ג'ו עמר 2","752"
"","קרקע תחתונה + שתיים עשרה","6","דירה בבית קומות","6430-246-45","2,080,000 ₪","29/06/2011","135","יאיר רוזנבלום 8","753"
"","רביעית וחמישית","6","דירה בבית קומות","6429-307-12","2,670,000 ₪","28/06/2011","197.1","דוד זהבי 15","754"
"","שלישית","6","דירה בבית קומות","6430-259-22","1,898,000 ₪","23/06/2011","142.9","משה סנה 31","755"
"","ראשונה","4","דירת גן","6430-229-4","1,980,000 ₪","20/06/2011","89","אהוד מנור 16","756"
"","ראשונה","5","דירה בבית קומות","6429-290-4","1,940,000 ₪","30/05/2011","138.58","ג'ו עמר 5","757"
"","ראשונה","6","דירה בבית קומות","6430-245-3","1,022,000 ₪","25/05/2011","141.12","אהוד מנור 23","758"
"","קרקע","5","דירה בבית קומות","6429-290-1","2,408,000 ₪","24/05/2011","126.26","ג'ו עמר 5","759"
"","רביעית","5","דירה בבית קומות","6430-229-14","1,800,000 ₪","19/05/2011","126","אהוד מנור 16","760"
"","שלישית","5","דירה בבית קומות","6430-264-24","2,360,000 ₪","05/05/2011","116.55","יאיר רוזנבלום 32","762"
"","אחת עשרה","5","דירה בבית קומות","6430-252-44","2,340,000 ₪","29/04/2011","127.71","אברהם פררה 7","763"
"","רביעית","6","דירה בבית קומות","6429-286-16","2,710,000 ₪","17/04/2011","217","דוד זהבי 18","764"
"","קרקע, ראשונה","5","דירה בבית קומות","6429-295-1","2,390,000 ₪","14/04/2011","132.19","דוד זהבי 6","765"
"","שניה","6","דירה בבית קומות","6429-292-24","1,940,000 ₪","12/04/2011","131.19","ג'ו עמר 6","766"
"","שלישית","5","דירה בבית קומות","6430-256-11","2,150,000 ₪","31/03/2011","140.33","קרן המוסיקה 4","767"
"","שלישית","5","דירה בבית קומות","6430-259-11","1,755,000 ₪","30/03/2011","126.6","אהוד מנור 2","768"
"","ראשונה","5","דירה בבית קומות","6429-286-6","1,793,000 ₪","28/03/2011","141","דוד זהבי 18","769"
"","ראשונה","4","דירה בבית קומות","6430-259-17","1,588,000 ₪","24/03/2011","105.9","משה סנה 31","770"
"","חמישית ושישית","7","דירה בבית קומות","6429-287-15","2,350,000 ₪","13/03/2011","187.3","וילנסקי משה 17","772"
"","שלישית","5","דירה בבית קומות","6429-290-11","1,940,000 ₪","09/03/2011","140.09","ג'ו עמר 5","773"
"","רביעית","5","דירה בבית קומות","6429-290-13","1,950,000 ₪","08/03/2011","138.58","ג'ו עמר 5","774"
"","שישית ושביעית","7","דירה בבית קומות","6429-292-17","2,500,000 ₪","07/03/2011","181.25","ג'ו עמר 6","775"
"","ראשונה","5","דירה בבית קומות","6430-245-24","1,795,000 ₪","07/03/2011","129.31","אהוד מנור 23","776"
"","שניה","5","דירה בבית קומות","6429-292-5","1,760,000 ₪","03/03/2011","113.06","ג'ו עמר 6","777"
"","חמישית","5","דירה בבית קומות","6429-290-16","1,960,000 ₪","03/03/2011","138.58","ג'ו עמר 5","778"
"green arrow up
							
								
									
										
											
											
										
									
								
							
						 1.4% ב 0.9 שנים","שניה","5","דירה בבית קומות","6429-292-6","1,760,000 ₪","02/03/2011","116.66","ג'ו עמר 6","779"
"","שניה","5","דירה בבית קומות","6430-233-27","1,760,000 ₪","27/02/2011","128.9","מאיר אריאל 12","780"
"","ראשונה","5","דירה בבית קומות","6430-245-5","1,841,000 ₪","22/02/2011","127.42","אהוד מנור 23","782"
"","שלישית","5","דירה בבית קומות","6429-286-14","1,800,000 ₪","22/02/2011","141","דוד זהבי 18","783"
"","חמישית","6","דירה בבית קומות","6429-290-17","1,960,000 ₪","14/02/2011","140.09","ג'ו עמר 5","784"
